year,month,commodity_name,state_name,district_name,avg_modal_price
2023,January,Rice,Karnataka,Bangalore,2400
2023,February,Rice,Karnataka,Bangalore,2450
2023,March,Rice,Karnataka,Bangalore,2500
2023,April,Rice,Karnataka,Bangalore,2550
2023,May,Rice,Karnataka,Bangalore,2600
2023,June,Rice,Karnataka,Bangalore,2650
2023,July,Rice,Karnataka,Bangalore,2700
2023,August,Rice,Karnataka,Bangalore,2750
2023,September,Rice,Karnataka,Bangalore,2800
2023,October,Rice,Karnataka,Bangalore,2850
2023,November,Rice,Karnataka,Bangalore,2900
2023,December,Rice,Karnataka,Bangalore,2950

2023,January,Ragi,Karnataka,Mysore,2200
2023,February,Ragi,Karnataka,Mysore,2250
2023,March,Ragi,Karnataka,Mysore,2300
2023,April,Ragi,Karnataka,Mysore,2350
2023,May,Ragi,Karnataka,Mysore,2400
2023,June,Ragi,Karnataka,Mysore,2450
2023,July,Ragi,Karnataka,Mysore,2500
2023,August,Ragi,Karnataka,Mysore,2550
2023,September,Ragi,Karnataka,Mysore,2600
2023,October,Ragi,Karnataka,Mysore,2650
2023,November,Ragi,Karnataka,Mysore,2700
2023,December,Ragi,Karnataka,Mysore,2750

2024,January,Tomato,Karnataka,Kolar,1800
2024,February,Tomato,Karnataka,Kolar,1850
2024,March,Tomato,Karnataka,Kolar,1900
2024,April,Tomato,Karnataka,Kolar,1950
2024,May,Tomato,Karnataka,Kolar,2000
2024,June,Tomato,Karnataka,Kolar,2050
2024,July,Tomato,Karnataka,Kolar,2100
2024,August,Tomato,Karnataka,Kolar,2150
2024,September,Tomato,Karnataka,Kolar,2200
2024,October,Tomato,Karnataka,Kolar,2250
2024,November,Tomato,Karnataka,Kolar,2300
2024,December,Tomato,Karnataka,Kolar,2350

2024,January,Onion,Karnataka,Hubli,2600
2024,February,Onion,Karnataka,Hubli,2650
2024,March,Onion,Karnataka,Hubli,2700
2024,April,Onion,Karnataka,Hubli,2750
2024,May,Onion,Karnataka,Hubli,2800
2024,June,Onion,Karnataka,Hubli,2850
2024,July,Onion,Karnataka,Hubli,2900
2024,August,Onion,Karnataka,Hubli,2950
2024,September,Onion,Karnataka,Hubli,3000
2024,October,Onion,Karnataka,Hubli,3050
2024,November,Onion,Karnataka,Hubli,3100
2024,December,Onion,Karnataka,Hubli,3150

2025,January,Maize,Karnataka,Belagavi,2100
2025,February,Maize,Karnataka,Belagavi,2150
2025,March,Maize,Karnataka,Belagavi,2200
2025,April,Maize,Karnataka,Belagavi,2250
2025,May,Maize,Karnataka,Belagavi,2300
2025,June,Maize,Karnataka,Belagavi,2350
2025,July,Maize,Karnataka,Belagavi,2400
2025,August,Maize,Karnataka,Belagavi,2450
2025,September,Maize,Karnataka,Belagavi,2500
2025,October,Maize,Karnataka,Belagavi,2550
2025,November,Maize,Karnataka,Belagavi,2600
2025,December,Maize,Karnataka,Belagavi,2650
